,Title,Date,Score
313,Watch Dogs: Complete Edition (XONE),"Aug 26, 2015",6.8
314,The Settlers Online (PC),"Aug 19, 2015",4.6
315,Zombi (PS4),"Aug 18, 2015",5.8
316,Zombi (XONE),"Aug 18, 2015",6.3
317,Zombi (PC),"Aug 18, 2015",4.8
318,Toy Soldiers: War Chest (PC),"Aug 12, 2015",7.7
319,Toy Soldiers: War Chest (XONE),"Aug 11, 2015",8.3
320,Toy Soldiers: War Chest (PS4),"Aug 11, 2015",7.2
321,Boggle (PS4),"Aug 4, 2015",6.0
322,Boggle (XONE),"Aug 4, 2015",tbd
323,Trials Fusion: The Awesome MAX Edition (PS4),"Jul 17, 2015",tbd
324,Trials Fusion: Awesome Level Max (PS4),"Jul 14, 2015",tbd
325,Trials Fusion: Awesome Level Max (XONE),"Jul 14, 2015",tbd
326,Trials Fusion: Awesome Level Max (PC),"Jul 14, 2015",tbd
327,Trials Fusion: The Awesome MAX Edition (XONE),"Jul 14, 2015",tbd
328,Anno Online (PC),"Jul 1, 2015",4.4
329,Scrabble (PS4),"Jun 30, 2015",6.3
330,Scrabble (XONE),"Jun 30, 2015",tbd
331,Rabbids Appisodes: The Interactive TV Show (iOS),"Jun 18, 2015",tbd
332,Tetris Ultimate (VITA),"Jun 2, 2015",5.9
333,AirMech Arena (XONE),"May 12, 2015",4.2
334,AirMech Arena (PS4),"May 5, 2015",5.9
335,RISK (X360),"Apr 29, 2015",tbd
336,RISK (PS3),"Apr 28, 2015",tbd
337,Assassin's Creed Chronicles: China (PS4),"Apr 21, 2015",6.0
338,Assassin's Creed Chronicles: China (XONE),"Apr 21, 2015",5.6
339,Assassin's Creed Chronicles: China (PS3),"Apr 21, 2015",5.3
340,Assassin's Creed Chronicles: China (PC),"Apr 21, 2015",4.9
341,Tom Clancy's EndWar Online (PC),"Apr 12, 2015",8.0
342,Driver Speedboat Paradise (iOS),"Apr 8, 2015",tbd
343,Horse Haven World Adventures (iOS),"Mar 26, 2015",tbd
344,Assassin's Creed Rogue (PC),"Mar 10, 2015",7.4
345,Far Cry 4: Valley of the Yetis (PS4),"Mar 10, 2015",7.2
346,Far Cry 4: Valley of the Yetis (XONE),"Mar 10, 2015",7.4
347,Far Cry 4: Valley of the Yetis (PS3),"Mar 10, 2015",6.5
348,Far Cry 4: Valley of the Yetis (X360),"Mar 10, 2015",7.4
349,Far Cry 4: Valley of the Yetis (PC),"Mar 10, 2015",5.4
350,Assassin's Creed Rogue: Templar Legacy Pack (PC),"Mar 9, 2015",tbd
351,Trials Fusion: Fault One Zero (PS4),"Feb 24, 2015",tbd
352,Trivial Pursuit Live! (X360),"Feb 17, 2015",tbd
